source,host,port,status,error,raw_line
cfst_unknown_8443,172.65.64.247,8443,latency_failed,HTTP Error 503: Service Unavailable,172.65.64.247:8443#未知|cfst|colo=UNKNOWN|tcp=79.33ms|httping=ms
cfst_unknown_8443,172.65.182.128,8443,latency_failed,HTTP Error 503: Service Unavailable,172.65.182.128:8443#未知|cfst|colo=UNKNOWN|tcp=79.34ms|httping=ms
cfst_unknown_8443,172.65.185.40,8443,latency_failed,HTTP Error 503: Service Unavailable,172.65.185.40:8443#未知|cfst|colo=UNKNOWN|tcp=79.35ms|httping=ms
cfst_unknown_8443,172.65.191.14,8443,latency_failed,HTTP Error 503: Service Unavailable,172.65.191.14:8443#未知|cfst|colo=UNKNOWN|tcp=79.35ms|httping=ms
cfst_unknown_8443,172.65.91.145,8443,latency_failed,HTTP Error 503: Service Unavailable,172.65.91.145:8443#未知|cfst|colo=UNKNOWN|tcp=79.37ms|httping=ms
cfst_unknown_8443,172.65.80.100,8443,latency_failed,HTTP Error 503: Service Unavailable,172.65.80.100:8443#未知|cfst|colo=UNKNOWN|tcp=79.39ms|httping=ms
cfst_unknown_8443,172.65.246.10,8443,latency_failed,HTTP Error 503: Service Unavailable,172.65.246.10:8443#未知|cfst|colo=UNKNOWN|tcp=79.4ms|httping=ms
cfst_unknown_8443,172.65.158.180,8443,latency_failed,HTTP Error 503: Service Unavailable,172.65.158.180:8443#未知|cfst|colo=UNKNOWN|tcp=79.37ms|httping=ms
cfst_unknown_8443,172.65.208.189,8443,latency_failed,HTTP Error 503: Service Unavailable,172.65.208.189:8443#未知|cfst|colo=UNKNOWN|tcp=79.41ms|httping=ms
cfst_unknown_8443,172.65.134.142,8443,latency_failed,HTTP Error 503: Service Unavailable,172.65.134.142:8443#未知|cfst|colo=UNKNOWN|tcp=79.41ms|httping=ms
cfst_unknown_8443,172.65.97.9,8443,latency_failed,HTTP Error 503: Service Unavailable,172.65.97.9:8443#未知|cfst|colo=UNKNOWN|tcp=79.41ms|httping=ms
cfst_unknown_8443,172.65.201.8,8443,latency_failed,HTTP Error 503: Service Unavailable,172.65.201.8:8443#未知|cfst|colo=UNKNOWN|tcp=79.42ms|httping=ms
cfst_unknown_8443,172.65.226.56,8443,latency_failed,HTTP Error 503: Service Unavailable,172.65.226.56:8443#未知|cfst|colo=UNKNOWN|tcp=79.42ms|httping=ms
cfst_unknown_8443,172.65.124.60,8443,latency_failed,HTTP Error 503: Service Unavailable,172.65.124.60:8443#未知|cfst|colo=UNKNOWN|tcp=79.43ms|httping=ms
